Date/Time,Electricity:Facility [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorLights:Electricity [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod) 
January,15341736118.969517,7701954765.769073,7639781353.199998,0.0,36556387115.73327,0.0 
February,13853504421.365965,6956604304.565627,6896900116.80001,0.0,25265169561.676866,0.0 
March,15314242551.769518,7701954765.769073,7612287785.999997,0.0,14340316333.402733,0.0 
April,14882316976.035,7453504612.034591,7428812364.000004,0.0,5427685822.573569,0.0 
May,15314242551.769518,7701954765.769073,7612287785.999999,783207215.8123691,2362052084.5714156,0.0 
June,14827329841.635024,7453504612.034591,7373825229.599995,5168494986.649164,1950012448.9323042,0.0 
July,15369229686.169518,7701954765.769073,7667274920.4,20091428878.443918,1999387404.182785,0.0 
August,15314242551.769516,7701954765.769073,7612287786.0,15084448226.370789,1999387404.182785,0.0 
September,14854823408.83502,7453504612.034591,7401318796.799996,848304921.0536321,1939728511.3230499,0.0 
October,15341736118.969519,7701954765.769073,7639781353.199998,0.0,5220413477.468969,0.0 
November,14827329841.635,7453504612.034591,7373825229.600001,0.0,20816728141.09883,0.0 
December,15369229686.169518,7701954765.769073,7667274920.400001,0.0,34018873831.625185,0.0,180609963755.08219,41975884228.329837,151896142136.77226,0.0 
