Date/Time,Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod) 
 01/01  01:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/01  02:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/01  03:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,799022.9516304637,0.0 
 01/01  04:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,4177752.4956659956,0.0 
 01/01  05:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,7533797.205693369,0.0 
 01/01  06:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,48682245.005070108,0.0 
 01/01  07:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,44953591.467782478,0.0 
 01/01  08:00:00,49491381.369600009,35063564.1696,14427817.200000002,0.0,127117264.96884921,0.0 
 01/01  09:00:00,49491381.369600009,35063564.1696,14427817.200000002,0.0,111833754.61747223,0.0 
 01/01  10:00:00,63238164.9696,35063564.1696,28174600.799999998,0.0,97289505.37080558,0.0 
 01/01  11:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,69948105.61810898,0.0 
 01/01  12:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,62460053.32831143,0.0 
 01/01  13:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,56816991.27791561,0.0 
 01/01  14:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,53426186.73266649,0.0 
 01/01  15:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,51682691.79638725,0.0 
 01/01  16:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,50677086.96365817,0.0 
 01/01  17:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,50283955.56477787,0.0 
 01/01  18:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,83651432.90251756,0.0 
 01/01  19:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,76858787.10789159,0.0 
 01/01  20:00:00,41477164.5971785,13302563.797178498,28174600.799999998,0.0,65668503.378204289,0.0 
 01/01  21:00:00,41477164.5971785,13302563.797178498,28174600.799999998,0.0,63003955.80460137,0.0 
 01/01  22:00:00,27730380.997178496,13302563.797178498,14427817.200000002,0.0,12371473.399582956,0.0 
 01/01  23:00:00,27730380.997178496,13302563.797178498,14427817.200000002,0.0,11663936.426845614,0.0 
 01/01  24:00:00,3897756.7102307525,3897756.7102307525,0.0,0.0,0.0,0.0 
 01/02  01:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/02  02:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/02  03:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/02  04:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,812956.8828507811,0.0 
 01/02  05:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,3494854.257839176,0.0 
 01/02  06:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,144898346.0364594,0.0 
 01/02  07:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,123810121.93191096,0.0 
 01/02  08:00:00,63238164.9696,35063564.1696,28174600.799999998,0.0,90347845.67821345,0.0 
 01/02  09:00:00,63238164.9696,35063564.1696,28174600.799999998,0.0,84679196.61273793,0.0 
 01/02  10:00:00,63238164.9696,35063564.1696,28174600.799999998,0.0,76658185.02582312,0.0 
 01/02  11:00:00,7862313.704073121,7862313.704073121,0.0,0.0,0.0,0.0 
 01/02  12:00:00,7862313.704073121,7862313.704073121,0.0,0.0,0.0,0.0 
 01/02  13:00:00,7862313.704073121,7862313.704073121,0.0,0.0,0.0,0.0 
 01/02  14:00:00,7862313.704073121,7862313.704073121,0.0,0.0,0.0,0.0 
 01/02  15:00:00,7862313.704073121,7862313.704073121,0.0,0.0,0.0,0.0 
 01/02  16:00:00,7862313.704073121,7862313.704073121,0.0,0.0,87511621.57451329,0.0 
 01/02  17:00:00,7862313.704073121,7862313.704073121,0.0,0.0,70519690.5796173,0.0 
 01/02  18:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,92520186.94421503,0.0 
 01/02  19:00:00,21609097.304073119,7862313.704073121,13746783.6,0.0,84945010.76749614,0.0 
 01/02  20:00:00,41477164.5971785,13302563.797178498,28174600.799999998,0.0,75495939.59367979,0.0 
 01/02  21:00:00,41477164.5971785,13302563.797178498,28174600.799999998,0.0,74945802.78628065,0.0 
 01/02  22:00:00,41477164.5971785,13302563.797178498,28174600.799999998,0.0,74739937.42043388,0.0 
 01/02  23:00:00,41477164.5971785,13302563.797178498,28174600.799999998,0.0,72603156.88892234,0.0 
 01/02  24:00:00,17644540.310230756,3897756.7102307525,13746783.6,0.0,58714154.25412672,0.0 
 01/03  01:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/03  02:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/03  03:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,0.0,0.0 
 01/03  04:00:00,2198660.8557268807,2198660.8557268807,0.0,0.0,3589564.907661511,0.0 
